#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.100   -101.050   -102.205   -117.984    -21.360    181.790    102.288
      0.200   -102.725    -83.606   -107.224    -12.153    190.185    112.915
      0.300   -103.329    -64.149    -95.302      0.073    198.952    125.524
      0.400   -102.492    -43.819    -81.995     16.667    207.656    140.623
      0.500    -99.673    -22.674    -67.026     39.711    215.236    158.748
      0.600    -94.072     -0.952    -50.082     72.312    219.211    180.133
      0.700    -84.537     20.715    -30.896    118.384    214.113    203.596
      0.800    -69.631     40.900     -9.533    179.744    189.590    223.655
      0.900    -48.348     57.111     12.510    245.911    134.622    217.199
      1.000    -21.751     67.020     32.652    286.041     63.562    185.638
      1.100      7.184     70.260     49.133    292.654      1.239    143.981
      1.200     35.779     68.223     61.647    279.247    -41.973    106.299
      1.300     62.684     62.670     70.802    258.855    -69.082     76.801
      1.400     87.518     54.938     77.374    237.812    -85.558     54.643
      1.500    110.327     45.887     82.006    218.370    -95.466     38.000
      1.600    131.299     36.047     85.172    201.069   -101.333     25.314
      1.700    150.644     25.747     87.210    185.841   -104.671     15.464
      1.800    168.558     15.194     88.367    172.442   -106.389      7.675
      1.900    185.211      4.522     88.822    160.602   -107.049      1.410
      2.000    200.744     -6.181     88.707    150.075   -107.004     -3.705
      2.100    215.281    -16.855     88.125    140.655   -106.482     -7.935
      2.200    228.922    -27.461     87.154    132.171   -105.636    -11.474
      2.300    241.755    -37.971     85.858    124.483   -104.567    -14.463
      2.400    253.853    -48.367     84.284    117.474   -103.346    -17.010
      2.500    265.279    -58.635     82.474    111.052   -102.022    -19.197
      2.600    276.089    -68.768     80.459    105.139   -100.631    -21.086
      2.700    286.329    -78.759     78.269     99.669    -99.196    -22.726
      2.800    296.042    -88.606     75.925     94.589    -97.736    -24.159
      2.900    305.264    -98.306     73.446     89.852    -96.264    -25.414
      3.000    314.028   -107.858     70.849     85.421    -94.789    -26.518
      3.100    322.362   -117.264     68.149     81.262    -93.317    -27.492
      3.200    330.292   -126.522     65.357     77.348    -91.855    -28.352
      3.300    337.842   -135.635     62.483     73.652    -90.405    -29.115
      3.400    345.033   -144.604     59.538     70.155    -88.970    -29.791
      3.500    351.883   -153.430     56.529     66.839    -87.552    -30.391
      3.600    358.409   -162.115     53.463     63.686    -86.151    -30.923
      3.700    364.627   -170.661     50.347     60.682    -84.769    -31.396
      3.800    370.552   -179.070     47.187     57.816    -83.405    -31.815
      3.900    376.197   -187.343     43.987     55.075    -82.060    -32.187
      4.000    381.573   -195.483     40.751     52.450    -80.734    -32.515
      4.100    386.692   -203.491     37.486     49.932    -79.427    -32.804
      4.200    391.564   -211.369     34.192     47.513    -78.137    -33.058
      4.300    396.199   -219.119     30.876     45.187    -76.866    -33.280
      4.400    400.606   -226.743     27.538     42.945    -75.611    -33.472
      4.500    404.792   -234.242     24.182     40.783    -74.374    -33.638
      4.600    408.766   -241.619     20.812     38.696    -73.153    -33.779
      4.700    412.535   -248.874     17.428     36.677    -71.948    -33.897
      4.800    416.105   -256.009     14.033     34.724    -70.758    -33.995
      4.900    419.483   -263.026     10.630     32.832    -69.582    -34.073
      5.000    422.674   -269.926      7.219     30.997    -68.421    -34.134
      5.100    425.685   -276.711      3.804     29.216    -67.273    -34.178
      5.200    428.520   -283.381      0.385     27.485    -66.139    -34.204
      5.300    431.184   -289.939     -3.035     25.803    -65.017    -34.184
      5.400    433.683   -296.385     -6.451     24.167    -63.908    -34.147
      5.500    436.020   -302.721     -9.863     22.574    -62.810    -34.099
      5.600    438.200   -308.948    -13.270     21.022    -61.724    -34.040
      5.700    440.226   -315.067    -16.671     19.509    -60.649    -33.972
      5.800    442.103   -321.078    -20.064     18.032    -59.585    -33.893
      5.900    443.834   -326.984    -23.449     16.591    -58.530    -33.806
